Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Senegal,SEN,African Dev. Bank         ,913,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,325694919.8,317985355,359288497,407129032.7,463382464.9,413239118.5,107611236.4,161714883.8,221540114.8,278537753.3,324250236.5,397808415.6,485340893,567111160,531271008.1,504148184.4,563039749.2,712723642.3,798942998.1,970296906
Senegal,SEN,African Dev. Bank         ,913,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-3745974.2,-7480271.4,-7374250,-13264000,-13355896.7,-16243000,-353367000,-1000,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Asian Dev. Bank   ,915,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Asian Dev. Bank   ,915,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Inter-American Dev. Bank,909,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Inter-American Dev. Bank,909,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,World Bank-IBRD                         ,901,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1253000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,World Bank-IBRD                         ,901,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,World Bank-IDA                         ,905,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1332069000,1386978000,1582971000,1814939000,2056394000,2059824000,501794000,659310000,786431000,927209000,1023255000,1187227000,1325852000,1460241000,1504347000,1597935000,1669751000,1999345000,2070419000,2656661000
Senegal,SEN,World Bank-IDA                         ,905,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-4414000,-13041000,-14039000,-10049000,-10017000,-17591000,-1741726000,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,France,004,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,288190787.6,248557984.8,283547049.7,325494682.1,..,..,..,..,147520200,210327600,228490200,170984090.7,334243602,323102443.5,331467511.5,444473750.7,478940876,617722251.7,958734835,1066349109.7
Senegal,SEN,France,004,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-1914653,-390632.1,..,..,-142595465.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Russian Federation,087,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Russian Federation,087,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,United States,302,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,29673582.6,29288065.6,28915677.9,28544673.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,United States,302,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,-9007000,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,United Kingdom,012,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3736468.8,4104632,4034335.4,3888861.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,594840300
Senegal,SEN,United Kingdom,012,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-89450.2,-169915.8,..,..,-2406985.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,"Germany, Fed.Rep. Of",005,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,76236576.4,73288772.7,88423122.1,117163458,129749559.7,123373199.7,2356113,4171495.6,3537701.4,3519039.9,3264336.6,3289093.8,3353914.8,3505672.2,3086242.2,3303115.8,3138055.7,6731670.9,8260030,153827162
Senegal,SEN,"Germany, Fed.Rep. Of",005,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,-155458063.5,..,-2257610.1,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Saudi Arabia,566,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,153682512,149102269.6,150368224.4,137291054.8,113175733.3,110208836.3,100251541.6,90263044,86843839.4,81580816.1,93505622.9,104062064,120292000,115138400,105294666.7,96081333.4,87849600,82959200,81957866.7,65148856.1
Senegal,SEN,Saudi Arabia,566,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,India,646,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,25326807.9,32521690.5,49286670.5,65562520,95611791.4,95995244.7,97015972,92487000,86486000,85871000,79342000,184945000,239770000,291158000,295133000
Senegal,SEN,India,646,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Italy,006,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,72198879.1,70322465.4,68864266.9,67800126.4,18770497.7,10570917.9,..,..,..,14406000,13362000,12939000,13194000,29163827.7,25674572.7,23071730.4,22338487.2,25415565.6,24264840,24138495.8
Senegal,SEN,Italy,006,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-88237.9,-10218.2,..,..,-38299089.5,..,-7245000,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,China,730,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,44676169.4,30394146.6,30420726.6,30579268.4,30579804.1,31146406.9,26237172.7,11814787.7,25145020.8,25160833.8,25679924.4,28879219.4,47862818.7,50967342.9,49587904,56952934.3,53195857,53004962.6,47739091.6,44494862.6
Sierra Leone,SLE,China,730,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,-14248786.3,..,..,..,..,-4376167.7,-13748791.3,-14397,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,Japan,701,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,68590076.8,115876188.1,125341024.2,142303650.8,148557355.4,140848226.7,139962959.2,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,Japan,701,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,-3706125,..,..,..,..,..,-50949430.1,..,..,..,..,..,..,..,..,..,..,..,..
